Accession Number	Prosite Hits	Prosite Confidence	Prosite Codes	Pfam Hits	Pfam Codes	Pfam Clan Names	Pfam Clan Numbers	Pfam E-vals	Blast Hits	Blast E-vals	Prints Hits	Print Codes	Function	Comments	GO Codes
ABO11176	Big-1 (bacterial Ig-like domain 1) domain profile	2	PS51127	Domain of unknown function 	PF08908.10	noresult	noresult	9.2e-189	hypothetical protein AB237_2763 [Acinetobacter baumannii NCGM 237],hypothetical protein HMPREF0010_01233 [Acinetobacter baumannii ATCC 19606 = CIP 70.34 = JCM 6841],conserved hypothetical protein [Acinetobacter baumannii SDF],hypothetical protein APC98_18525, partial [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter nosocomialis],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii]	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	FAD-dependent pyridine nucleotide reductase signature	FADPNR	adhesion	Adhesion (prosite), hypothetical protein (blast), FADPNR (prints)	GO:0007155
ABO10849	Protein kinase C phosphorylation site,Tyrosine kinase phosphorylation site,N-myristoylation site	1	PS00005,PS00007,PS00008	HopJ type III effector protein	PF08888.10	noresult	noresult	1.8e-42	hypothetical protein [Acinetobacter baumannii],HopJ type III effector protein [Acinetobacter baumannii],HopJ type III effector protein [Acinetobacter pittii],HopJ type III effector protein [Acinetobacter baumannii],type III effector [Acinetobacter baumannii],HopJ type III effector protein [Acinetobacter baumannii],HopJ type III effector protein [Acinetobacter baumannii],type III effector [Acinetobacter baumannii],type III effector [Acinetobacter baumannii],HopJ type III effector protein [Acinetobacter baumannii]	7e-75,4e-74,5e-74,1e-73,2e-73,2e-73,2e-73,2e-73,2e-73,2e-73	Subtilisin serine protease family (S8) signature	SUBTILISIN	chaperone protein	chaperone protein (blast and prosite) -> hop3 effector protein. Assists in protein folding	GO:0006457
ABO10843	N-myristoylation site	1	PS00008	noresult	noresult	noresult	noresult	noresult	putative Zinc-binding protein [Acinetobacter baumannii ATCC 17978],hypothetical protein J504_2266 [Acinetobacter baumannii 348935]	7e-13,0.007	noresult	noresult	zinc binding protein	Zinc binding protein (blast), through N-myristolyation (prosite)	GO:0046872
ABO10844	Protein kinase C phosphorylation site,Casein kinase II phosphorylation site,N-myristoylation site	1	PS00005,PS00006,PS00008	DNA gyrase inhibitor YacG	PF03884.13	TRASH superfamily	CL0175	1.4e-22	DNA gyrase inhibitor YacG [Acinetobacter baumannii],MULTISPECIES: DNA gyrase inhibitor YacG [Acinetobacter],DNA gyrase inhibitor YacG [Acinetobacter baumannii],DNA gyrase inhibitor YacG [Acinetobacter baumannii],DNA gyrase inhibitor YacG [Acinetobacter baumannii],DNA gyrase inhibitor YacG [Acinetobacter baumannii],DNA gyrase inhibitor YacG [Acinetobacter baumannii],DNA gyrase inhibitor YacG [Acinetobacter baumannii],DNA gyrase inhibitor YacG [Acinetobacter baumannii],MULTISPECIES: DNA gyrase inhibitor YacG [Acinetobacter]	8e-41,2e-40,2e-40,3e-40,3e-40,4e-40,9e-40,9e-40,1e-39,2e-39	Prokaryotic DNA topoisomerase I signature	PRTPISMRASEI	dna gyrase inhibitor	DNA gyrase inhibitor (blast, pfam), topoisomerase (prints)	GO:0033202
ABO10847	N-glycosylation site,Protein kinase C phosphorylation site,Casein kinase II phosphorylation site,N-myristoylation site	1	PS00001,PS00005,PS00006,PS00008	Glutathione-dependent formaldehyde-activating enzyme	PF04828.13	Beta-tent fold	CL0080	5.4e-23	aldehyde-activating protein [Acinetobacter baumannii],glutathione-dependent formaldehyde-activating protein [Acinetobacter baumannii],aldehyde-activating protein [Acinetobacter baumannii],aldehyde-activating protein [Acinetobacter baumannii],aldehyde-activating protein [Acinetobacter baumannii],aldehyde-activating protein [Acinetobacter baumannii],aldehyde-activating protein [Acinetobacter baumannii],aldehyde-activating protein [Acinetobacter baumannii],aldehyde-activating protein [Acinetobacter baumannii],aldehyde-activating protein [Acinetobacter baumannii]	5e-98,5e-98,9e-98,1e-97,1e-97,2e-97,2e-97,2e-97,2e-97,2e-97	Aspartate aminotransferase signature	TRANSAMINASE	transferase	this enzyme creates 2 folds. Beta-tent fold (pfam), aldehyde activating / formaldehyede-activating (pfam/blast), amino transferase (print)	GO:0016740
ABO11937	N-glycosylation site,Protein kinase C phosphorylation site,Casein kinase II phosphorylation site,N-myristoylation site	1	PS00001,PS00005,PS00006,PS00008	Type-1 fimbrial protein	PF16970.4	Bacterial adhesin superfamily	CL0204	8.1e-22	Fimbrial protein [Acinetobacter baumannii ATCC 17978],fimbrial protein [Acinetobacter baumannii],ferrous iron transporter B, partial [Acinetobacter baumannii],ferrous iron transporter B [Acinetobacter baumannii],fimbrial protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],fimbrial protein [Acinetobacter baumannii],ferrous iron transporter B [Acinetobacter baumannii],fimbrial protein [Acinetobacter baumannii],ferrous iron transporter B [Acinetobacter baumannii]	1e-81,5e-81,8e-81,8e-81,8e-81,9e-81,2e-80,2e-80,3e-80,3e-80	Antirepressor protein ANT signature,Butyrophylin C-terminal DUF signature ,FAD-dependent pyridine nucleotide reductase signature	ANTIREPRESSR,BUTYPHLNCDUF,FADPNR	adhesion	adhesin superfamily / fimbrial protein: polar filaments to attach to epthelium (pfam])	GO:0007155
ABO11935	N-glycosylation site,cAMP- and cGMP-dependent protein kinase phosphorylation site,Protein kinase C phosphorylation site,Casein kinase II phosphorylation site,Tyrosine kinase phosphorylation site,N-myristoylation site,Amidation site	1	PS00001,PS00004,PS00005,PS00006,PS00007,PS00008,PS00009	PapC N-terminal domain,Outer membrane usher protein,PapC C-terminal domain	PF13954.5,PF00577.19,PF13953.5	noresult,Outer membrane beta-barrel protein superfamily,noresult	noresult,CL0193,noresult	3.4e-45,5.2e-152,5.5e-17	hypothetical protein F915_02037 [Acinetobacter baumannii NIPH 70],fimbrial protein [Acinetobacter baumannii],fimbrial protein [Acinetobacter baumannii],outer membrane usher protein [Acinetobacter baumannii NIPH 410],fimbrial protein [Acinetobacter baumannii],fimbrial protein [Acinetobacter baumannii],fimbrial protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],hypothetical protein F919_02037 [Acinetobacter baumannii NIPH 329],Outer membrane usher protein HtrE precursor [Acinetobacter baumannii]	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	FAD-dependent pyridine nucleotide reductase signature,Flavoprotein pyridine nucleotide cytochrome reductase signature,Flavodoxin signature,Flagellar hook-associated protein signature	FADPNR,FPNCR,FLAVODOXIN,FLGHOOKAP1	membrane protein	involved in transport, beta barrel structure (pfam), outermembrane usher protein (blast), FAD used in transport to carry electrons (prints)	GO:0098796
ABO11931	N-glycosylation site,Protein kinase C phosphorylation site,Casein kinase II phosphorylation site,N-myristoylation site	1	PS00001,PS00005,PS00006,PS00008	Permease for cytosine/purines	PF02133.14	APC superfamily	CL0062	4.2e-50	cytosine permease [Acinetobacter baumannii],cytosine permease [Acinetobacter baumannii],cytosine permease [Acinetobacter baumannii],cytosine permease [Acinetobacter baumannii],cytosine permease [Acinetobacter baumannii],cytosine permease [Acinetobacter baumannii],cytosine permease [Acinetobacter baumannii],cytosine permease [Acinetobacter baumannii],cytosine permease [Acinetobacter baumannii],cytosine permease [Acinetobacter baumannii]	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	FAD-dependent pyridine nucleotide reductase signature	FADPNR	permease	blast/pfam permease	GO:0043190
ABO11585	N-glycosylation site,Protein kinase C phosphorylation site,Casein kinase II phosphorylation site,N-myristoylation site	1	PS00001,PS00005,PS00006,PS00008	Uncharacterized protein conserved in bacteria 	PF09979.8	noresult	noresult	5.9e-52	hypothetical protein [Acinetobacter baumannii],phage-like protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],phage-like protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],phage-like protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii]	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	Ankyrin repeat signature,NUDIX hydrolase family signature,Bacterial general secretion pathway protein F signature,DnaJ domain signature,Fos transforming protein signature	ANKYRIN,NUDIXFAMILY,BCTERIALGSPF,JDOMAIN,LEUZIPPRFOS	transposase	essential to cellular functions (prints)	GO:0004803
ABO11581	N-glycosylation site,Protein kinase C phosphorylation site,Casein kinase II phosphorylation site,N-myristoylation site	1	PS00001,PS00005,PS00006,PS00008	Uncharacterized conserved protein 	PF10045.8	noresult	noresult	3.6e-37	MULTISPECIES: hypothetical protein [Acinetobacter],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter pittii],hypothetical protein [Acinetobacter pittii],hypothetical protein [Acinetobacter pittii],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter junii],hypothetical protein [Acinetobacter soli],hypothetical protein [Acinetobacter pittii],hypothetical protein, partial [Acinetobacter baumannii]	1e-111,2e-111,8e-111,2e-110,3e-110,1e-109,3e-107,2e-106,3e-103,6e-103	Ribonucleotide reductase large chain signature ,Stomatin signature	RIBORDTASEM1,STOMATIN	ribonucleotide reductase	reductase (prints), multispecies protein involved in DNA synthesis (blast), conserved in bacteria (pfam)	GO:0016491
ABO11948	Transketolase signature 2	3	PS00802	Transketolase,Transketolase	PF02779.23,PF02780.19	Thiamin diphosphate-binding superfamily,Transketolase C-terminal domain-like superfamily	CL0254,CL0591	7.4e-34,4.5e-11	transketolase [Acinetobacter baumannii ATCC 17978],transketolase, pyrimidine binding domain protein [Acinetobacter baumannii 25750_1],transketolase, partial [Acinetobacter baumannii],transketolase [Acinetobacter baumannii UH8907],transketolase, partial [Acinetobacter baumannii],transketolase [Acinetobacter baumannii],transketolase [Acinetobacter baumannii],transketolase [Acinetobacter baumannii],transketolase [Acinetobacter baumannii],transketolase [Acinetobacter baumannii]	0.0,1e-178,6e-178,6e-178,3e-177,4e-176,6e-176,6e-176,7e-176,7e-176	FAD-dependent pyridine nucleotide reductase signature	FADPNR	transketolase	hit from Blast/prosite/pfam	GO:0016740
ABO11604	N-glycosylation site,Protein kinase C phosphorylation site,N-myristoylation site	1	PS00001,PS00005,PS00008	Peptidase S24-like	PF00717.22	Peptidase clan SF	CL0299	1.1e-13	DNA polymerase V [Acinetobacter baumannii],DNA polymerase V [Acinetobacter baumannii],DNA polymerase V [Acinetobacter baumannii],DNA polymerase V [Acinetobacter pittii],DNA polymerase V [Acinetobacter baumannii],DNA polymerase V [Acinetobacter baumannii],DNA polymerase V [Acinetobacter pittii],hypothetical protein [Acinetobacter baumannii],DNA polymerase V [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii]	4e-115,2e-113,1e-112,7e-112,1e-111,3e-111,3e-111,3e-111,4e-111,4e-111	Repressor LexA serine protease (S24) family signature,Prokaryotic DNA topoisomerase I signature,CRP bacterial regulatory protein HTH signature,LuxR bacterial regulatory protein HTH signature	LEXASERPTASE,PRTPISMRASEI,HTHCRP,HTHLUXR	peptidase	Peptidase, (pfam/prosite/prints) NOTE:  DNA polymerase (blast).	GO:0008233
ABO11928	N-glycosylation site,Protein kinase C phosphorylation site,Casein kinase II phosphorylation site,N-myristoylation site	1	PS00001,PS00005,PS00006,PS00008	Phage integrase family	PF00589.21	DNA breaking-rejoining enzyme superfamily	CL0382	1.1e-06	Phage integrase [Acinetobacter baumannii ATCC 17978],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],integrase [Acinetobacter baumannii],integrase [Acinetobacter baumannii],integrase, partial [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],Phage integrase family protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],integrase [Acinetobacter baumannii]	2e-138,1e-136,3e-135,3e-135,3e-135,1e-134,1e-134,1e-134,2e-134,2e-134	NUDIX hydrolase family signature,DnaJ domain signature	NUDIXFAMILY,JDOMAIN	integrase	DNA breaking rejoining enzyme / integrase (pfam blast) :  hydrolase (prints)	GO:0016874
ABO11600	Fibronectin type-III domain profile	3	PS50853	Putative phage tail protein	PF13550.5	Phage tail beta-barrel superfamily	CL0504	9.4e-35	hypothetical protein A1S_1170 [Acinetobacter baumannii ATCC 17978],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],fibronectin type III domain protein [Acinetobacter baumannii ATCC 19606 = CIP 70.34 = JCM 6841],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii],hypothetical protein [Acinetobacter baumannii]	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	Fibronectin type III repeat signature,Fibronectin type I repeat signature,Fibronectin type II repeat signature,Helicobacter pylori vacuolating cytotoxin signature,Basic protease (Kunitz-type) inhibitor family signature,Arthropod haemocyanin signature,Repressor LexA serine protease (S24) family signature,Von Willebrand factor type A domain signature	FNTYPEIII,FNTYPEI,FNTYPEII,VACCYTOTOXIN,BASICPTASE,HAEMOCYANIN,LEXASERPTASE,VWFADOMAIN	phage tail protein	Beta structure (prosite/prints) phage tail protein (pfam/blast)	GO:0009288
ABO10834	Protein kinase C phosphorylation site	1	PS00005	noresult	noresult	noresult	noresult	noresult	apolipoprotein N-acyltransferase copper homeostasis protein [Acinetobacter baumannii ATCC 17978],apolipoprotein N-acyltransferase [Acinetobacter pittii],apolipoprotein N-acyltransferase, partial [Acinetobacter baumannii],apolipoprotein N-acyltransferase, partial [Acinetobacter baumannii],apolipoprotein N-acyltransferase [Acinetobacter pittii],apolipoprotein N-acyltransferase [Acinetobacter baumannii],apolipoprotein N-acyltransferase [Acinetobacter pittii],apolipoprotein N-acyltransferase, partial [Acinetobacter baumannii],apolipoprotein N-acyltransferase [Acinetobacter pittii],apolipoprotein N-acyltransferase [Acinetobacter baumannii]	4e-51,3e-05,4e-05,7e-05,8e-05,8e-05,9e-05,9e-05,9e-05,9e-05	noresult	noresult	acetyltransferase	lipoprotein (blast)	GO:0016740
ABO10836	Uncharacterized protein family UPF0033 signature	3	PS01148	Sulfurtransferase TusA	PF01206.16	TusA-like superfamily	CL0397	3e-24	small ubiquitous protein required for normal growth [Acinetobacter baumannii AYE],TusA-like sulfurtransferase [Acinetobacter baumannii],sulfurtransferase TusA [Acinetobacter baumannii],sulfurtransferase TusA [Acinetobacter baumannii],sulfurtransferase TusA [Acinetobacter baumannii],sulfurtransferase TusA [Acinetobacter baumannii],sulfurtransferase TusA [Acinetobacter baumannii],putative sulfur transfer protein SirA [Acinetobacter calcoaceticus RUH2202],MULTISPECIES: TusA-like sulfurtransferase [Acinetobacter],MULTISPECIES: TusA-like sulfurtransferase [Acinetobacter]	3e-57,8e-57,9e-57,1e-56,2e-56,5e-56,7e-56,1e-55,7e-52,3e-51	FAD-dependent pyridine nucleotide reductase signature	FADPNR	transferase	required for cell growth (prints)/ well conserved region (blast/pfam)	GO:0016740
ABO10837	cAMP- and cGMP-dependent protein kinase phosphorylation site,Protein kinase C phosphorylation site,Casein kinase II phosphorylation site,Tyrosine kinase phosphorylation site,N-myristoylation site,Amidation site	1	PS00004,PS00005,PS00006,PS00007,PS00008,PS00009	Thi4 family	PF01946.16	FAD/NAD(P)-binding Rossmann fold Superfamily	CL0063	9.5e-07	EsvG [Acinetobacter baumannii ATCC 17978],FAD binding domain protein [Acinetobacter baumannii 24845_8],electron transfer flavoprotein-ubiquinone oxidoreductase, partial [Acinetobacter baumannii],electron transfer flavoprotein-ubiquinone oxidoreductase, partial [Acinetobacter baumannii],EtfD [Acinetobacter baumannii],electron-transferring-flavoprotein dehydrogenase [Acinetobacter baumannii 6013113],electron-transferring-flavoprotein dehydrogenase [Acinetobacter baumannii 6013150],electron transfer flavoprotein-ubiquinone oxidoreductase [Acinetobacter calcoaceticus],electron transfer flavoprotein-ubiquinone oxidoreductase [Acinetobacter baumannii],electron transfer flavoprotein-ubiquinone oxidoreductase [Acinetobacter baumannii]	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	FAD-dependent pyridine nucleotide reductase signature,Pyridine nucleotide disulphide reductase class-II signature,Pyridine nucleotide disulphide reductase class-I signature,Aromatic-ring hydroxylase (flavoprotein monooxygenase) signature	FADPNR,PNDRDTASEII,PNDRDTASEI,RNGMNOXGNASE	nucleotide binding protein	nucleotide binding protein with FAD domain (prints). Involved in protein folding (blast/pfam)	GO:0000166
